Disease	StudyCount	LR	SNPCount	MaxLR	probability	citation	comment	PostTest	PostTestWithMax
Abdominal aortic aneurysm	2	1.1748478016	2	1.2842	0.07			0.0812449609154993	0.0881405322513908
Age related macular degeneration	10	0.246415465536979	9	0.37419	0.07			0.0182096587947802	0.0273933105366875
Alzheimer's disease	33	0.206897273583089	10	0.623924	0.09			0.0200520551902246	0.0581203501937519
Asthma	24	1.26783265753697	14	1.36111	0.13			0.159272651211698	0.169010232922611
Atrial fibrillation	5	2.28442074731290	3	2.55878	0.028	PubMed 8037127	2.8% in age 65-69	0.0617432598537985	0.0686495717742716
Basal cell carcinoma	8	1.28942149699657	4	1.40069	0.3	http://www.healthcentral.com/skin-cancer/understanding-skin-cancer-000032_2-145.html	by age 55	0.355922925338877	0.375115492047452
Bipolar disorder	12	15.0772869168338	11	2.10288	0.01			0.132167299243588	0.0207994074946233
Bladder cancer	35	1.41962230359134	7	1.25239	0.038			0.0530989503890111	0.0471387210117461
Breast cancer	82	0.507357308313537	18	0.5625	0.125	http://www.wrongdiagnosis.com/b/breast_cancer/stats.htm	Life time rsik	0.0675813455357582	0.0743801652892562
Colorectal cancer	58	1.28983722212661	11	1.90677	0.0588235			0.0746008520177615	0.106483139890268
Coronary artery disease	53	2.32254974376204	31	1.3202	0.5			0.699026327031684	0.569002672183432
Creutzfeldt-Jakob disease	2	0.490966964	2	0.2542	2.5e-05			1.22743303009904e-05	6.35511849118427e-06
Crohn's disease	129	5.27004561075511	67	2.90261	0.00201			0.0105026496238334	0.00581201950706697
Depression	2	0.80940405498	2	0.700431	0.1			0.082513071175724	0.0722061731071537
Dilated cardiomyopathy	4	6.34386155003627	4	2.9888	4e-04	http://www.clevelandclinicmeded.com/medicalpubs/diseasemanagement/cardiology/dilated-restrictive-cardiomyopathy/	general population in US	0.00253213207472102	0.00119456969591551
Esophageal cancer	21	9.95316441188877	11	3.35342	0.0051			0.0485445395564942	0.0168996054655765
Essential tremor	1	2.0586	1	2.0586	0.013	http://www.orpha.net/data/patho/GB/uk-essentialtremor.pdf	over age 60	0.0263985089988595	0.0263985089988595
Follicular lymphoma	5	0.223079224034215	4	0.542936	0.029			0.00661841503723768	0.01595664705901
Frontotemporal lobar degeneration	1	0.542047	1	0.542047	1.85e-05	PubMed 21584654	age 45-64, 15-22 per million	1.00279544581388e-05	1.00279544581388e-05
Gastric cancer	6	2.14866330478979	4	1.71518	0.0089			0.0189295843146226	0.0151685526154105
Gout	1	1.46468	1	1.46468	0.02	http://www.news-medical.net/news/20110728/New-study-shows-high-prevalence-of-gout-in-the-US.aspx?page=2		0.0290238638192098	0.0290238638192098
Hypertension	5	0.794437932711461	5	0.761935	0.2			0.165699909741489	0.160005333966129
Hypertriglyceridemia	4	0.364711862892353	4	0.60695	0.299	http://www.medscape.org/viewarticle/550620	all men in NHANES	0.134620087921890	0.205645964791985
Intracranial aneurysm	4	2.63443031952267	3	1.77778	0.00021	PubMed 9710011	age 55-64 in Olmsted County in 1965-1995	0.000553040546789865	0.000373272831929924
Lung cancer	59	0.357491885244766	5	0.645418	0.0454545			0.0167384596898882	0.0298177352827821
Melanoma	10	1.00267811726738	8	1.44	0.02			0.0200524882870449	0.0285487708168121
Migraine	3	0.895623	1	0.895623	0.0062			0.00555645839203703	0.00555645839203703
Multiple sclerosis	14	0.379877357721917	6	0.558198	0.023			0.00886359915373213	0.0129703515266390
